file,ItemId,DisplayName,Description,Category,Tags,MaxStackSize,IsThrowable,IsThrowWeapon,PreventDropDuringCooldown,ThrowStartOffset,ThrowParabolicDuration,ThrowParabolicPeakHeight,ThrowHorizontalDistance,ThrowParabolicLandingYOffset,ThrowWeaponCooldown,attack_power,SkillRefs
Furniture_B_CautionTape_side,Furniture_B_CautionTape_side,警戒线(正),一次性投掷道具：警戒线(正),Furniture,tag_throw|furniture,1,true,false,false,0|-250,0.4,100.0,700.0,250.0,2.0,20.0,
Furniture_B_ChairA,Furniture_B_ChairA,白色座椅,一次性投掷道具：白色座椅,Furniture,tag_throw|furniture,1,true,false,false,0|-250,0.4,100.0,700.0,250.0,2.0,20.0,
Furniture_B_ChairA_fwd,Furniture_B_ChairA_fwd,白色座椅(反),一次性投掷道具：白色座椅(反),Furniture,tag_throw|furniture,1,true,false,false,0|-250,0.4,100.0,700.0,250.0,2.0,20.0,
Furniture_B_CoffeeMachineA,Furniture_B_CoffeeMachineA,咖啡机,一次性投掷道具：咖啡机,Furniture,tag_throw|furniture,1,true,false,false,0|-250,0.35,100.0,500,250.0,2.0,60.0,
Furniture_B_CounterA,Furniture_B_CounterA,酒店吧台,一次性投掷道具：酒店吧台,Furniture,tag_throw|furniture,1,true,false,false,0|-250,0.3,100.0,300.0,250.0,2.0,100.0,
Furniture_B_CounterB,Furniture_B_CounterB,昂贵的酒店柜台,一次性投掷道具：昂贵的酒店柜台,Furniture,tag_throw|furniture,1,true,false,false,0|-250,0.3,100.0,300.0,250.0,2.0,100.0,
Furniture_B_GarbageCanA,Furniture_B_GarbageCanA,大堂垃圾桶,一次性投掷道具：大堂垃圾桶,Furniture,tag_throw|furniture,1,true,false,false,0|-250,0.4,100.0,700.0,250.0,2.0,20.0,
Furniture_B_Gate,Furniture_B_Gate,大门,一次性投掷道具：大门,Furniture,tag_throw|furniture,1,true,false,false,0|-250,0.35,100.0,500,250.0,2.0,60.0,
Furniture_B_LuggageCartA,Furniture_B_LuggageCartA,行李推车,一次性投掷道具：行李推车,Furniture,tag_throw|furniture,1,true,false,false,0|-250,0.35,100.0,500,250.0,2.0,60.0,
Furniture_B_PlantA,Furniture_B_PlantA,大堂盆栽,一次性投掷道具：大堂盆栽,Furniture,tag_throw|furniture,1,true,false,false,0|-250,0.4,100.0,700.0,250.0,2.0,20.0,
Furniture_B_SofaA,Furniture_B_SofaA,迎宾沙发,一次性投掷道具：迎宾沙发,Furniture,tag_throw|furniture,1,true,false,false,0|-250,0.3,100.0,300.0,250.0,2.0,100.0,
Furniture_B_SofaA_bwd,Furniture_B_SofaA_bwd,迎宾沙发(背面),一次性投掷道具：迎宾沙发(背面),Furniture,tag_throw|furniture,1,true,false,false,0|-250,0.3,100.0,300.0,250.0,2.0,100.0,
Furniture_B_SofaA_fwd,Furniture_B_SofaA_fwd,迎宾沙发(侧面),一次性投掷道具：迎宾沙发(侧面),Furniture,tag_throw|furniture,1,true,false,false,0|-250,0.3,100.0,300.0,250.0,2.0,100.0,
Furniture_B_SofaA_rwd,Furniture_B_SofaA_rwd,迎宾沙发(侧面),一次性投掷道具：迎宾沙发(侧面),Furniture,tag_throw|furniture,1,true,false,false,0|-250,0.3,100.0,300.0,250.0,2.0,100.0,
Furniture_B_TableRoundA,Furniture_B_TableRoundA,圆桌,一次性投掷道具：圆桌,Furniture,tag_throw|furniture,1,true,false,false,0|-250,0.35,100.0,500,250.0,2.0,60.0,
Furniture_B_TableRoundB,Furniture_B_TableRoundB,迎宾茶几,一次性投掷道具：迎宾茶几,Furniture,tag_throw|furniture,1,true,false,false,0|-250,0.35,100.0,500,250.0,2.0,60.0,
Furniture_B_VendingMachineA,Furniture_B_VendingMachineA,自动售货机,一次性投掷道具：自动售货机,Furniture,tag_throw|furniture,1,true,false,false,0|-250,0.35,100.0,500,250.0,2.0,60.0,
Furniture_C_ChairB,Furniture_C_ChairB,米色座椅,一次性投掷道具：米色座椅,Furniture,tag_throw|furniture,1,true,false,false,0|-250,0.4,100.0,700.0,250.0,2.0,20.0,
Furniture_C_ChairB_fwd,Furniture_C_ChairB_fwd,米色座椅(反),一次性投掷道具：米色座椅(反),Furniture,tag_throw|furniture,1,true,false,false,0|-250,0.4,100.0,700.0,250.0,2.0,20.0,
Furniture_C_FoodCartA,Furniture_C_FoodCartA,食物推车,一次性投掷道具：食物推车,Furniture,tag_throw|furniture,1,true,false,false,0|-250,0.35,100.0,500,250.0,2.0,60.0,
Furniture_C_TableRoundC,Furniture_C_TableRoundC,圆形餐桌,一次性投掷道具：圆形餐桌,Furniture,tag_throw|furniture,1,true,false,false,0|-250,0.3,100.0,300.0,250.0,2.0,100.0,
Furniture_C_TableSquareA,Furniture_C_TableSquareA,方形餐桌,一次性投掷道具：方形餐桌,Furniture,tag_throw|furniture,1,true,false,false,0|-250,0.35,100.0,500,250.0,2.0,60.0,
Furniture_D_ChairOfficeC,Furniture_D_ChairOfficeC,办公座椅C,一次性投掷道具：办公座椅C,Furniture,tag_throw|furniture,1,true,false,false,0|-250,0.4,100.0,700.0,250.0,2.0,20.0,
Furniture_D_Drone,Furniture_D_Drone,破损无人机,一次性投掷道具：破损无人机,Furniture,tag_throw|furniture,1,true,false,false,0|-250,0.4,100.0,700.0,250.0,2.0,20.0,
Furniture_D_PrinterMachineA,Furniture_D_PrinterMachineA,打印机A,一次性投掷道具：打印机A,Furniture,tag_throw|furniture,1,true,false,false,0|-250,0.35,100.0,500,250.0,2.0,20.0,
Furniture_D_TableOfficeB,Furniture_D_TableOfficeB,办公桌B,一次性投掷道具：办公桌B,Furniture,tag_throw|furniture,1,true,false,false,0|-250,0.35,100.0,500,250.0,2.0,60.0,
Furniture_D_TableOfficeB_bwd,Furniture_D_TableOfficeB_bwd,办公桌B(背面),一次性投掷道具：办公桌B(背面),Furniture,tag_throw|furniture,1,true,false,false,0|-250,0.35,100.0,500,250.0,2.0,60.0,
Furniture_D_TableOfficeB_fwd,Furniture_D_TableOfficeB_fwd,办公桌B(侧面),一次性投掷道具：办公桌B(侧面),Furniture,tag_throw|furniture,1,true,false,false,0|-250,0.35,100.0,500,250.0,2.0,60.0,
Furniture_D_TableOfficeB_rwd,Furniture_D_TableOfficeB_rwd,办公桌B(侧面),一次性投掷道具：办公桌B(侧面),Furniture,tag_throw|furniture,1,true,false,false,0|-250,0.35,100.0,500,250.0,2.0,60.0,
Furniture_D_WaterMachineA,Furniture_D_WaterMachineA,饮水机,一次性投掷道具：饮水机A,Furniture,tag_throw|furniture,1,true,false,false,0|-250,0.4,100.0,700.0,250.0,2.0,20.0,
Furniture_D_WhiteBoardA,Furniture_D_WhiteBoardA,白板A,一次性投掷道具：白板A,Furniture,tag_throw|furniture,1,true,false,false,0|-250,0.35,100.0,500,250.0,2.0,60.0,
Supplies_p2_support_test,supplies_p2_support_test,P2应急能量胶,临时测试道具：用于验证同伴支援消耗流程，食用后恢复 4 点生命。,Supplies,tag_food|tag_p2_support_test,3,false,false,false,0|-250,0.35,100.0,500,250.0,2.0,,
Weapon_Brawl_DiscoBall,Weapon_Brawl_DiscoBall,迪斯科闪光球,普通类拳套武器：迪斯科闪光球。攻速快。距离近。对敌人造成伤害时有概率生成范围闪光眩晕敌人,Weapon,tag_weapon|tag_brawl|hit_2,1,false,false,false,0|-250,0.35,100.0,500,250.0,2.0,20.0,WeaponSkill_Brawl_DiscoBall
Weapon_Brawl_MechGlove,Weapon_Brawl_MechGlove,机械冲撞臂,稀有类拳套武器：机械冲撞臂。攻速中。距离较近。攻击到敌人后造成击退，三段攻击全部命中敌人时最后一段伤害触发暴击,Weapon,tag_weapon|tag_brawl|hit_3,1,false,false,false,0|-250,0.35,100.0,500,250.0,2.0,30.0,WeaponSkill_Brawl_MechGlove
Weapon_Brawl_RiotBracer,Weapon_Brawl_RiotBracer,镇暴护腕,稀有类拳套武器：镇暴护腕。攻速中。距离远。攻击时向前冲刺一段距离，攻击到敌人后造成击退,Weapon,tag_weapon|tag_brawl|hit_1,1,false,false,false,0|-250,0.35,100.0,500,250.0,2.0,30.0,WeaponSkill_Brawl_RiotBracer
Weapon_Brawl_RiotGlove,Weapon_Brawl_RiotGlove,镇暴拳套,普通类拳套武器：镇暴拳套。攻速快。距离近。攻击到敌人时有概率触发暴击,Weapon,tag_weapon|tag_brawl|hit_2,1,false,false,false,0|-250,0.35,100.0,500,250.0,2.0,20.0,WeaponSkill_Brawl_RiotGlove
Weapon_Slash_Baguette,Weapon_Slash_Baguette,法棍,普通类挥砍武器：法棍。攻速中。范围中。攻击到敌人时有概率掉落一个可恢复生命的法棍碎屑,Weapon,tag_weapon|tag_slash|hit_1,1,false,false,false,0|-250,0.35,100.0,500,250.0,2.0,20.0,WeaponSkill_Slash_Baguette
Weapon_Slash_BarrierGate,Weapon_Slash_BarrierGate,开刃升降杆,普通类挥砍武器：开刃升降杆。攻速慢。范围大。攻击到敌人时对敌人略微减速一段时间,Weapon,tag_weapon|tag_slash|hit_1,1,false,false,false,0|-250,0.35,100.0,500,250.0,2.0,20.0,WeaponSkill_Slash_BarrierGate
Weapon_Slash_BunnySword,Weapon_Slash_BunnySword,仿生兔女郎的光剑,稀有类挥砍武器：光剑。攻速快。范围中。攻击后生成一个持续发射激光攻击敌人的浮游炮，一段时间消失,Weapon,tag_weapon|tag_slash|hit_2,1,false,false,false,0|-250,0.35,100.0,500,250.0,2.0,30.0,WeaponSkill_Slash_BunnySword
Weapon_Slash_ExpandBaton,Weapon_Slash_ExpandBaton,甩棍,普通类挥砍武器：甩棍。攻速中。范围中。攻击敌人数次后的下一次攻击必定暴击,Weapon,tag_weapon|tag_slash|hit_1,1,false,false,false,0|-250,0.35,100.0,500,250.0,2.0,20.0,WeaponSkill_Slash_ExpandBaton
Weapon_Slash_ViolinBow,Weapon_Slash_ViolinBow,音乐家的琴弓,稀有类挥砍武器：音乐家的琴弓。攻速中。范围大。攻击到敌人时在敌人身上生成一段持续数秒的音波，音波范围内的敌人收到伤害和减速,Weapon,tag_weapon|tag_slash|hit_1,1,false,false,false,0|-250,0.35,100.0,500,250.0,2.0,30.0,WeaponSkill_Slash_ViolinBow
Weapon_Stab_Corkscrew,Weapon_Stab_Corkscrew,开瓶器,普通类戳刺武器：开瓶器。攻速中。距离远。攻击到敌人时对敌人造成流血效果，每秒按当前血量的百分比流血，血量越多流血伤害越高，对精英boss级敌人效果显著,Weapon,tag_weapon|tag_stab|hit_1,1,false,false,false,0|-250,0.35,100.0,500,250.0,2.0,20.0,WeaponSkill_Stab_Corkscrew
Weapon_Stab_drill,Weapon_Stab_Drill,钻头,普通类戳刺武器：钻头。攻速慢。距离远。电池类武器，攻击时消耗电量，电量耗尽后无法继续攻击需要等待电量恢复。攻击时对敌人造成击退效果,Weapon,tag_weapon|tag_stab|hit_4,1,false,false,false,0|-250,0.35,100.0,500,250.0,2.0,20.0,WeaponSkill_Stab_Drill
Weapon_Stab_LaserPointer,Weapon_Stab_LaserPointer,激光笔,稀有类戳刺武器：激光笔。攻速中。距离极远。电池类武器，攻击时消耗电量，电量耗尽后无法继续攻击需要等待电量恢复。攻击距离极远的激光武器,Weapon,tag_weapon|tag_stab|hit_3,1,false,false,false,0|-250,0.35,100.0,500,250.0,2.0,20.0,WeaponSkill_Stab_LaserPointer
Weapon_Stab_umbrella,Weapon_Stab_Umbrella,雨伞,普通类戳刺武器：雨伞。攻速中。距离较远。攻击时生成一面伞状护盾，抵挡一次伤害后破碎。,Weapon,tag_weapon|tag_stab|hit_1,1,false,false,false,0|-250,0.35,100.0,500,250.0,2.0,20.0,WeaponSkill_Stab_Umbrella
Weapon_Throw_Boomerang,Weapon_Throw_Boomerang,回旋镖,稀有类投掷武器：回旋镖。投掷后生成一个飞行一段距离后返回的回旋镖，接住回旋镖可以立刻刷新投掷CD。在特定距离朝敌人投掷可判定多段伤害,Weapon,tag_weapon|tag_throw,1,true,true,true,0|-150,0.01,0.0,1.0,-150.0,15.0,,
Weapon_Throw_Briefcase,Weapon_Throw_Briefcase,多功能公文包,普通类投掷武器：多功能公文包。投掷前来回切换武器图标。投掷时根据当前图标触发武器效果：1.可破坏的阻挡移动的护盾 2.持续朝敌人发射并造成伤害的数据模块,Weapon,tag_weapon|tag_throw,1,true,true,false,0|-250,0.3,100.0,300.0,250.0,10.0,,
Weapon_Throw_ECore,Weapon_Throw_ECore,电击核心,普通类投掷武器：电击核心。投掷后生成一个遇到障碍物后回弹的电击核心，对范围敌人造成伤害。,Weapon,tag_weapon|tag_throw,1,true,true,true,0|-150,0.01,0.0,1.0,-150.0,10.0,,
Weapon_Throw_EmojiBomb,Weapon_Throw_EmojiBomb,emoji炸弹,稀有类投掷武器：emoji炸弹。投掷前来回切换emoji表情。投掷时根据当前表情触发武器效果：不同表情造成的范围和伤害不同,Weapon,tag_weapon|tag_throw,1,true,true,false,0|-250,0.4,100.0,700.0,250.0,3.0,,
Weapon_Throw_GravityGrenade,Weapon_Throw_GravityGrenade,引力手雷,稀有类投掷武器：引力手雷。投掷后生成一个持续吸引范围内敌人并造成伤害的引力网,Weapon,tag_weapon|tag_throw,1,true,true,false,0|-250,0.4,100.0,700.0,250.0,12.0,,
Weapon_Throw_MetalSpike,Weapon_Throw_MetalSpike,金属地刺,普通类投掷武器：金属地刺。投掷后生成一个金属地刺，对接触的敌人造成伤害和减速,Weapon,tag_weapon|tag_throw,1,true,true,false,0|-250,0.3,100.0,300.0,250.0,12.0,,
Weapon_Throw_SmokeGrenade,Weapon_Throw_SmokeGrenade,镇暴烟雾弹,普通类投掷武器：镇暴烟雾弹。投掷后生成一个烟雾弹，对范围内的敌人持续眩晕,Weapon,tag_weapon|tag_throw,1,true,true,false,0|-250,0.4,100.0,700.0,250.0,12.0,,
